date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:29:58	226/226	---M--	200	added ('OK')	text/html	etag:%2298c363ce3eb27515e9b6eb80d05f4141%22	https://www.schloss-freudenfels.ch/de/senderliste/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/senderliste/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:59	23086/23086	---MCZ	200	added ('OK')	text/html	etag:W/%22985a08d0c4e16f5111a9295b7fb364d2%22	https://www.schloss-freudenfels.ch/de/form-successfully-submitted/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/form-successfully-submitted/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:59	22986/22986	---MCZ	200	added ('OK')	text/html	etag:W/%2279b7f8cb3c4fc06837278ba2785bf229%22	https://www.schloss-freudenfels.ch/de/order-successfully-submitted/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/order-successfully-submitted/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:29:59	95672/95672	---MCZ	200	added ('OK')	text/html	etag:W/%22d5de080c1f7fb63cdd63336130164379%22	https://www.schloss-freudenfels.ch/en/seminar/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/seminar/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:30:00	27632/27632	---MCZ	200	added ('OK')	text/html	etag:W/%22e46f100c4cf48cad772c58ebef8bbac1%22	https://www.schloss-freudenfels.ch/de/nachricht/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/nachricht/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:30:00	29530/29530	---MCZ	200	added ('OK')	text/html	etag:W/%22cd09ff190e10bbf7389cca0a1d3dcdb3%22	https://www.schloss-freudenfels.ch/de/bewerbung/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/bewerbung/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:30:01	34713/34713	---MCZ	200	added ('OK')	text/html	etag:W/%22770348f10fe62780550a2799d3126a99%22	https://www.schloss-freudenfels.ch/de/arbeiten-auf-dem-schloss/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/arbeiten-auf-dem-schloss/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:30:01	33492/33492	---MCZ	200	added ('OK')	text/html	etag:W/%22682c1a7a2773bfc68e47ca5ecdd2c891%22	https://www.schloss-freudenfels.ch/de/anfrage-hochzeit-friday-special/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/anfrage-hochzeit-friday-special/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:30:02	31263/31263	---MCZ	200	added ('OK')	text/html	etag:W/%2225f95397039f4c97d2502cea4c9cef7b%22	https://www.schloss-freudenfels.ch/de/anfrage-seminar/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/anfrage-seminar/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:30:02	331740/331740	---MCZ	200	added ('OK')	application/pdf	etag:W/%22edb95afade071f89f4edcc25ae737309%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/ahkoPgeQX7-eWaso_AbendkarteSommerfrische.pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/ahkoPgeQX7-eWaso_AbendkarteSommerfrische.pdf	(from https://www.schloss-freudenfels.ch/de/sommerfrische/index.html)
19:30:03	43437/43437	---MCZ	200	added ('OK')	text/html	etag:W/%2289bbd9b2daa51a2fd77f52ec0ed5c005%22	https://www.schloss-freudenfels.ch/de/initiativ-bewerbung/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/initiativ-bewerbung/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:30:04	31733/31733	---MCZ	200	added ('OK')	text/html	etag:W/%227a51c6943965a5d88e767f4d279f60fb%22	https://www.schloss-freudenfels.ch/de/anfrage-event/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/anfrage-event/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
